,PLAYER,VA,ALL-STAR
297,Tobias Harris,276.0,0.0
298,Malcolm Brogdon,194.5,0.0
299,John Wall,117.1,1.0
300,Taj Gibson,159.6,0.0
301,Nikola Vucevic,493.1,0.0
302,De'Aaron Fox,216.4,0.0
303,Spencer Dinwiddie,161.7,0.0
304,Daniel Theis,72.4,0.0
305,Victor Oladipo,124.8,1.0
306,Willie Cauley-Stein,200.2,0.0
307,Nikola Mirotic,106.7,0.0
308,Bam Adebayo,156.2,0.0
309,Klay Thompson,232.0,1.0
310,Joel Embiid,420.6,1.0
311,CJ McCollum,231.5,0.0
312,Cody Zeller,123.6,0.0
313,Lauri Markkanen,128.5,0.0
314,Kyle Lowry,173.6,1.0
315,Darren Collison,174.5,0.0
316,Kevon Looney,121.5,0.0
317,Jordan Clarkson,161.5,0.0
318,Frank Kaminsky,33.3,0.0
319,0,0,0.0
320,0,0,0.0
321,0,0,0.0
322,0,0,0.0
323,0,0,0.0
324,0,0,0.0
325,0,0,0.0
326,Patrick Beverley,14.6,0.0
327,Dion Waiters,3.8,0.0
328,Seth Curry,-4.4,0.0
329,Jaron Blossomgame,-1.9,0.0
330,Dennis Schroder,49.1,0.0
331,Norman Powell,27.2,0.0
332,Will Barton,23.8,0.0
333,Rodney Hood,45.9,0.0
334,Allonzo Trier,41.9,0.0
335,Danuel House Jr.,18.6,0.0
336,Ian Mahinmi,12.5,0.0
337,Malik Monk,27.6,0.0
338,Vince Carter,24.3,1.0
339,Jae Crowder,14.1,0.0
340,Kentavious Caldwell-Pope,32.1,0.0
341,Aaron Holiday,5.6,0.0
342,Tim Frazier,0.0,0.0
343,Alex Len,113.3,0.0
344,Dwyane Wade,107.9,1.0
345,Bismack Biyombo,36.9,0.0
346,Jake Layman,65.2,0.0
347,Josh Richardson,139.4,0.0
348,Paul Millsap,169.7,1.0
349,Marvin Bagley III,119.7,0.0
350,Myles Turner,189.0,0.0
351,Buddy Hield,228.2,0.0
352,Marc Gasol,198.8,1.0
353,Gorgui Dieng,76.7,0.0
354,Kevin Durant,485.1,1.0
355,Patrick Patterson,-39.0,0.0
356,Tomas Satoransky,91.6,0.0
357,Justise Winslow,70.7,0.0
358,Patty Mills,51.0,0.0
359,Al-Farouq Aminu,46.9,0.0
360,Ersan Ilyasova,18.6,0.0
